"","CustomerID","Spend","Bills","Visits","Qty","FreeQty","FPD","LPD","ATV","ABS","APP","CUTLERY_spend","CUTLERy_bills","DL_spend","DL_bills","DAILYUSE_spend","DAILYUSE_bills","HOD_spend","HOD_bills","ACC_spend","ACC_bills","FURN_spend","FURN_bills","STATIONARY_spend","STATIONARY_bills","Game_spend","Game_bills","BATH_spend","BATH_bills","UK_geo_purchaser"
"1",12346,77183.6,1,1,74215,0,"2011-01-18","2011-01-18",77183.6,74215,1.04,77183.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2",12347,4310,7,7,2458,0,"2010-12-07","2011-12-07",615.714285714286,351,1.75345809601302,1129.46,6,483.92,6,258.98,6,688.34,6,855.84,7,105,2,258.36,6,530.1,7,0,0,0
"3",12348,1797.24,4,4,2341,0,"2010-12-16","2011-09-25",449.31,585,0.76772319521572,333.6,1,0,0,271.44,2,174,1,340,2,0,0,318.2,4,0,0,0,0,0
"4",12349,1757.55,1,1,631,0,"2011-11-21","2011-11-21",1757.55,631,2.78534072900158,735.67,1,59.9,1,142.35,1,351.25,1,85.2,1,36.5,1,46.68,1,0,0,0,0,0
"5",12350,334.4,1,1,197,0,"2011-02-02","2011-02-02",334.4,197,1.69746192893401,78.7,1,0,0,52.2,1,83.1,1,80.4,1,0,0,0,0,0,0,0,0,0
"6",12352,2506.04,8,7,536,0,"2011-02-16","2011-11-03",313.255,67,4.67544776119403,709.21,7,198.2,6,143.55,5,214.65,6,12.48,1,17.4,1,861.1,2,69.45,2,0,0,0
"7",12353,89,1,1,20,0,"2011-05-19","2011-05-19",89,20,4.45,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",12354,1079.4,1,1,530,0,"2011-04-21","2011-04-21",1079.4,530,2.03660377358491,537.47,1,39.7,1,162.15,1,166.85,1,79.3,1,0,0,60.03,1,33.9,1,0,0,0
"9",12355,459.4,1,1,240,0,"2011-05-09","2011-05-09",459.4,240,1.91416666666667,138.1,1,96.3,1,0,0,30,1,195,1,0,0,0,0,0,0,0,0,0
"10",12356,2811.43,3,3,1591,0,"2011-01-18","2011-11-17",937.143333333333,530,1.76708359522313,1993.96,3,75,1,22.75,1,177.52,2,61.2,2,0,0,157,2,0,0,0,0,0
"11",12357,6207.67,1,1,2708,0,"2011-11-06","2011-11-06",6207.67,2708,2.29234490398818,1941.34,1,712.16,1,1182,1,1741.47,1,245.7,1,23.8,1,351.12,1,10.08,1,0,0,0
"12",12358,1168.06,2,2,248,0,"2011-07-12","2011-12-08",584.03,124,4.70991935483871,127.66,2,0,0,15,1,785.4,2,0,0,0,0,0,0,0,0,0,0,0
"13",12359,6372.58,4,4,1622,0,"2011-01-12","2011-10-13",1593.145,405,3.92884093711468,2257.17,4,0,0,456.88,4,1207.39,4,318.45,3,1356.3,4,621.39,4,155,3,0,0,0
"14",12360,2662.06,3,3,1165,0,"2011-05-23","2011-10-18",887.353333333334,388,2.28503004291846,894.48,3,18.96,1,227,2,210.84,2,249,3,0,0,306.14,3,395.64,3,0,0,0
"15",12361,189.9,1,1,91,0,"2011-02-25","2011-02-25",189.9,91,2.08681318681319,55.2,1,0,0,70.2,1,0,0,49.5,1,0,0,0,0,0,0,0,0,0
"16",12362,5226.23,10,10,2229,0,"2011-02-17","2011-12-06",522.623,222,2.34465231045312,1304.13,10,155.16,4,765.47,10,926.1,9,949.81,8,30,2,398.26,9,208.3,6,0,0,0
"17",12363,552,2,2,408,0,"2011-04-11","2011-08-22",276,204,1.35294117647059,237.72,2,120,1,0,0,164.4,2,0,0,0,0,29.88,1,0,0,0,0,0
"18",12364,1313.1,4,4,1506,0,"2011-08-19","2011-12-02",328.275,376,0.87191235059761,219.3,3,135,2,91.8,3,160.73,3,109.92,3,0,0,491.35,3,0,0,0,0,0
"19",12365,641.38,2,1,174,0,"2011-02-21","2011-02-21",320.69,87,3.68609195402299,65.85,1,44.6,1,15,1,137.74,1,0,0,0,0,348.19,2,30,1,0,0,0
"20",12367,168.9,1,1,173,0,"2011-12-05","2011-12-05",168.9,173,0.976300578034682,0,0,0,0,70.2,1,9.9,1,27,1,0,0,33.6,1,10.2,1,0,0,0
"21",12370,3545.69,4,4,2353,0,"2010-12-14","2011-10-19",886.4225,588,1.50688057798555,361.25,3,927.25,3,180.7,3,1082.74,3,355.35,3,90,1,283.4,4,145,2,0,0,0
"22",12371,1887.96,2,2,591,0,"2011-10-11","2011-10-26",943.98,295,3.19451776649746,353.31,1,471.8,1,405.45,1,180.6,1,58.2,1,0,0,35.8,1,22.8,1,0,0,0
"23",12372,1298.04,3,3,794,0,"2011-02-16","2011-09-29",432.68,264,1.63481108312343,591.12,3,0,0,280.8,3,117.12,3,78,2,0,0,84,1,45,2,0,0,0
"24",12373,364.6,1,1,197,0,"2011-02-01","2011-02-01",364.6,197,1.8507614213198,72.9,1,0,0,17.7,1,0,0,234,1,0,0,0,0,0,0,0,0,0
"25",12374,742.93,1,1,342,0,"2011-11-14","2011-11-14",742.93,342,2.17230994152047,129.32,1,50.55,1,61.7,1,169.68,1,40.8,1,0,0,151.08,1,19.8,1,0,0,0
"26",12375,457.5,2,2,178,0,"2011-09-02","2011-11-29",228.75,89,2.57022471910112,49.8,1,0,0,0,0,31.8,1,295.9,2,0,0,0,0,0,0,0,0,0
"27",12377,1628.12,2,2,944,0,"2010-12-20","2011-01-28",814.06,472,1.72470338983051,760.32,2,15,1,342.84,2,209.1,2,54.3,1,0,0,153.96,2,12.6,1,0,0,0
"28",12378,4008.62,1,1,2529,0,"2011-08-02","2011-08-02",4008.62,2529,1.58506128904705,1066.01,1,191.41,1,541.08,1,1013.17,1,576.31,1,85.05,1,450.09,1,85.5,1,0,0,0
"29",12379,852.24,2,2,407,0,"2011-06-22","2011-09-19",426.12,203,2.09395577395577,313.14,2,0,0,67.2,1,106.2,1,219.6,2,30.3,1,40.8,1,0,0,0,0,0
"30",12380,2724.81,4,4,1127,0,"2011-06-07","2011-11-18",681.2025,281,2.41775510204082,498.04,4,363.24,3,112.5,4,258.61,4,956.77,4,105.9,2,111.75,2,21,1,0,0,0
"31",12381,1845.31,5,5,808,0,"2011-08-12","2011-12-05",369.062,161,2.2837995049505,608.8,3,330.58,3,112.8,2,166.31,2,40.6,1,0,0,150.92,2,64.8,1,0,0,0
"32",12383,1850.56,5,5,1532,0,"2010-12-22","2011-06-08",370.112,306,1.20793733681462,917.31,5,150,1,101.1,2,179.95,5,24.84,2,0,0,255.36,4,0,0,0,0,0
"33",12384,585.27,2,2,126,0,"2011-08-10","2011-11-11",292.635,63,4.645,111.49,1,67.48,2,61.55,2,98.25,2,56.5,2,15,1,0,0,15,1,0,0,0
